instrument_key,exchange_token,tradingsymbol,name,last_price
NSE_EQ|INE211B01039,14552,PHOENIXLTD,THE PHOENIX MILLS LTD,1616.1
NSE_EQ|INE813H01021,13786,TORNTPOWER,TORRENT POWER LTD,1390.1
NSE_EQ|INE213A01029,2475,ONGC,OIL AND NATURAL GAS CORP.,251.89
NSE_EQ|INE335Y01020,13611,IRCTC,INDIAN RAIL TOUR CORP LTD,756.6
NSE_EQ|INE931S01010,10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,828.1
NSE_EQ|INE704P01025,21508,COCHINSHIP,COCHIN SHIPYARD LIMITED,2179.2
NSE_EQ|INE053F01010,2029,IRFC,INDIAN RAILWAY FIN CORP L,134.2
NSE_EQ|INE127D01025,4244,HDFCAMC,HDFC AMC LIMITED,4958.6
NSE_EQ|INE021A01026,236,ASIANPAINT,ASIAN PAINTS LIMITED,2285.7
NSE_EQ|INE356A01018,4503,MPHASIS,MPHASIS LIMITED,2696.1
NSE_EQ|INE733E01010,11630,NTPC,NTPC LTD,335.2
NSE_EQ|INE115A01026,1997,LICHSGFIN,LIC HOUSING FINANCE LTD,594.55
NSE_EQ|INE702C01027,25780,APLAPOLLO,APL APOLLO TUBES LTD,1769.8
NSE_EQ|INE388Y01029,6545,NYKAA,FSN E COMMERCE VENTURES,197.07
NSE_EQ|INE117A01022,13,ABB,ABB INDIA LIMITED,5968.5
NSE_EQ|INE239A01024,17963,NESTLEIND,NESTLE INDIA LIMITED,2360.4
NSE_EQ|INE437A01024,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,7063.5
NSE_EQ|INE245A01021,3426,TATAPOWER,TATA POWER CO LTD,390.1
NSE_EQ|INE053A01029,1512,INDHOTEL,THE INDIAN HOTELS CO. LTD,765.65
NSE_EQ|INE196A01026,4067,MARICO,MARICO LIMITED,693.3
NSE_EQ|INE121J01017,29135,INDUSTOWER,INDUS TOWERS LIMITED,404.3
NSE_EQ|INE399L01023,6066,ATGL,ADANI TOTAL GAS LIMITED,617.1
NSE_EQ|INE121E01018,17869,JSWENERGY,JSW ENERGY LIMITED,499.3
NSE_EQ|INE019A01038,11723,JSWSTEEL,JSW STEEL LIMITED,1005.55
NSE_EQ|INE151A01013,3721,TATACOMM,TATA COMMUNICATIONS LTD,1654.5
