symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
HINDZINC,2020-06-08,2020-06-12,175.22,170.0,766,SL,299.32,-4297.84,4
IGL,2020-06-12,2020-06-18,241.85,230.6,355,SL,195.35,-4189.1,6
BEL,2020-06-18,2020-06-25,24.37,27.360625000000002,3030,SL,182.57,8879.02,7
BDL,2020-06-16,2020-06-26,121.96,142.58031250000002,401,SL,128.17,8140.58,10
SRF,2020-06-26,2020-07-09,732.59,774.3937500000001,198,SL,334.89,7942.25,13
ICICIGI,2020-05-20,2020-07-13,1240.32,1251.05,34,NO_TARGET,105.78,259.04,54
BHARTIARTL,2020-07-13,2020-07-15,571.19,549.95,188,SL,241.63,-4234.75,2
MFSL,2020-05-29,2020-07-22,473.05,548.55,66,NO_TARGET,86.86,4896.14,54
LT,2020-07-17,2020-07-24,928.62,898.45,132,SL,274.31,-4256.75,7
CIPLA,2020-07-17,2020-08-11,680.79,779.5190625,83,SL,144.43,8050.08,25
ADANIENT,2020-07-22,2020-08-21,168.94,233.35,237,FORCED_2DAY_AFTER_TARGET,116.1,15149.07,30
GODREJCP,2020-07-29,2020-08-31,683.1,663.5,204,SL,310.36,-4308.76,33
MUTHOOTFIN,2020-08-14,2020-09-07,1194.49,1091.0,38,SL,108.41,-4041.03,24
KOTAKBANK,2020-08-25,2020-09-09,1403.48,1331.05,55,SL,176.73,-4160.38,15
MPHASIS,2020-09-02,2020-09-16,1152.68,1299.324375,56,SL,161.74,8050.34,14
ADANIENSOL,2020-09-02,2020-09-21,268.23,248.1,198,SL,124.95,-4110.69,19
IRCTC,2020-09-21,2020-09-22,285.42,271.8,293,SL,190.56,-4181.22,1
M&M,2020-09-10,2020-09-24,620.08,597.4,176,SL,245.4,-4237.08,14
MFSL,2020-09-28,2020-10-22,604.71,567.3,106,SL,148.6,-4114.06,24
ESCORTS,2020-09-28,2020-10-26,1214.04,1151.5,63,SL,175.25,-4115.27,28
BIOCON,2020-09-28,2020-10-26,432.7,406.1,150,SL,150.31,-4140.31,28
ATGL,2020-10-28,2020-10-29,199.39,191.0,476,SL,214.81,-4208.45,1
CHOLAFIN,2020-10-30,2020-11-06,252.71,303.6,219,FORCED_2DAY_AFTER_TARGET,144.88,11000.03,7
INDUSINDBK,2020-11-03,2020-11-11,638.17,765.84203125,64,SL,110.73,8060.28,8
ATGL,2020-11-02,2020-11-23,225.12,344.65,114,FORCED_2DAY_AFTER_TARGET,83.55,13542.87,21
MUTHOOTFIN,2020-11-06,2020-11-24,1250.22,1136.5,35,SL,104.85,-4085.05,18
NAUKRI,2020-11-12,2020-12-01,721.59,841.5,97,FORCED_2DAY_AFTER_TARGET,176.87,11454.4,19
TECHM,2020-11-02,2020-12-09,822.74,929.5,97,FORCED_2DAY_AFTER_TARGET,196.69,10159.03,37
GODREJPROP,2020-10-22,2020-12-15,1064.29,1262.5,22,NO_TARGET,69.45,4291.17,54
MARICO,2020-12-02,2020-12-15,377.18,408.814375,261,SL,234.66,8021.91,13
ASIANPAINT,2020-12-01,2020-12-21,2255.82,2542.914375,28,SL,158.59,7880.05,20
CONCOR,2020-12-15,2020-12-21,328.13,316.8,353,SL,259.78,-4259.27,6
FEDERALBNK,2020-12-23,2021-01-12,62.46,76.2,831,FORCED_2DAY_AFTER_TARGET,137.76,11280.18,20
TORNTPHARM,2020-12-23,2021-01-29,1384.84,1291.7,42,SL,135.89,-4047.77,37
TVSMOTOR,2021-01-20,2021-02-05,517.57,628.3,138,FORCED_2DAY_AFTER_TARGET,183.59,15097.15,16
IRCTC,2020-12-23,2021-02-11,283.21,323.8,251,FORCED_2DAY_AFTER_TARGET,177.77,10010.32,50
ZYDUSLIFE,2020-12-23,2021-02-15,473.2,463.65,90,NO_TARGET,105.45,-964.95,54
APLAPOLLO,2020-12-23,2021-02-15,376.17,476.25,78,NO_TARGET,85.64,7720.6,54
TATACOMM,2020-12-23,2021-02-15,1019.47,990.0,30,NO_TARGET,79.62,-963.72,54
JSWENERGY,2021-02-11,2021-03-03,74.37,83.42140624999999,915,SL,169.34,8112.7,20
HDFCLIFE,2021-02-18,2021-03-18,715.06,686.95,142,SL,229.07,-4220.69,28
BAJFINANCE,2021-03-03,2021-03-19,543.7,519.5,165,SL,203.63,-4196.63,16
BPCL,2021-03-22,2021-03-25,209.74,199.1,375,SL,179.86,-4169.86,3
HUDCO,2021-03-22,2021-03-25,47.03,44.6,1646,SL,177.18,-4176.96,3
