instrument_key,exchange_token,tradingsymbol,name,last_price
NSE_EQ|INE263A01024,383,BEL,BHARAT ELECTRONICS LTD,408.25
NSE_EQ|INE020B01018,15355,RECLTD,REC LIMITED,394.45
NSE_EQ|INE00H001014,27066,SWIGGY,SWIGGY LIMITED,389.5
NSE_EQ|INE171A01029,1023,FEDERALBNK,FEDERAL BANK LTD,207.51
NSE_EQ|INE084A01016,4745,BANKINDIA,BANK OF INDIA,113.18
NSE_EQ|INE018E01016,17971,SBICARD,SBI CARDS & PAY SER LTD,945.6
NSE_EQ|INE415G01027,9552,RVNL,RAIL VIKAS NIGAM LIMITED,390.6
NSE_EQ|INE545U01014,2263,BANDHANBNK,BANDHAN BANK LIMITED,180.05
NSE_EQ|INE758T01015,5097,ETERNAL,ETERNAL LIMITED,253.33
NSE_EQ|INE154A01025,1660,ITC,ITC LTD,418.55
NSE_EQ|INE208A01029,212,ASHOKLEY,ASHOK LEYLAND LTD,235.15
NSE_EQ|INE303R01014,2955,KALYANKJIL,KALYAN JEWELLERS IND LTD,518.35
NSE_EQ|INE628A01036,11287,UPL,UPL LIMITED,633.5
NSE_EQ|INE347G01014,11351,PETRONET,PETRONET LNG LIMITED,295.4
NSE_EQ|INE067A01029,760,CGPOWER,CG POWER AND IND SOL LTD,688.25
NSE_EQ|INE438A01022,163,APOLLOTYRE,APOLLO TYRES LTD,439.8
NSE_EQ|INE257A01026,438,BHEL,BHEL,250.45
NSE_EQ|INE774D01024,13285,M&MFIN,M&M FIN. SERVICES LTD,262.6
NSE_EQ|INE129A01019,4717,GAIL,GAIL (INDIA) LTD,181.85
NSE_EQ|INE114A01011,2963,SAIL,STEEL AUTHORITY OF INDIA,127.48
NSE_EQ|INE029A01011,526,BPCL,BHARAT PETROLEUM CORP  LT,313.5
NSE_EQ|INE200M01039,18921,VBL,VARUN BEVERAGES LIMITED,459.6
NSE_EQ|INE016A01026,772,DABUR,DABUR INDIA LTD,466.9
